File Name,Skills
15313140.pdf,"advertising, cash registers, coach, conferences, cost reduction, credit, resolve customer complaints, clients, delivery, directing, employee training"
15337481.pdf,skills
15727656.pdf,"peer counseling, customer service, database, documentation, internet applications, excel, email, office, outlook, power point, publisher"
16332348.pdf,excellent writing and critical thinking skills
17165107.pdf,"health promotion, nutrition counseling, exercise testing  prescription, health and fitness speaker, microsoft office excel, powerpoint, word"
17254634.pdf,trained in compounding all intravenous and chemotherapy admixtures
17847636.pdf,"key, administrative assistant, attention to detail, billing, cpr certified, cpt, data entry, data base, delivery, diagnosis, dispatching"
17911230.pdf,excellent classroom management positive atmosphere promotion
18090899.pdf,excel and google sheets marketing
18725071.pdf,"mental health, excel, powerpoint, windows, microsoft word, quality teaching"
18997135.pdf,"chinese, conferences, clients, english, meetings, access, excel, microsoft office, powerpoint, word, business presentations, progress, quality"
19063156.pdf,"account reconciliations, accounting, accounts payable, apollo, auditing, benefits, billing system, coach, com, credit, client, customer satisfaction"
19108760.pdf,key account generation
19234823.pdf,exceptional interpersonal communication
19518606.pdf,operations management
19926135.pdf,strong interpersonal skills
20138606.pdf,accomplishments
20272792.pdf,problem solving
20324037.pdf,customer service
20400279.pdf,active listening
20544228.pdf,"streamline, basic, budget, business development, maintain calendar, case management, charts, communication skills, customer service, data entry"
20604208.pdf,"microsoft office, word, excel, outlook, data entry"
20765795.pdf,empathetic
21614256.pdf,"word programs including excel and access, epic and other electronic medical records, and the database efforts to outcome eto"
22042181.pdf,customer service
22259475.pdf,client relations specialist
22391901.pdf,"handle cash, coaching, credit, customer satisfaction, customer service, delivery, inventory, mentoring, merchandising, networking, organizing"
23427369.pdf,maintains strict confidentiality team player with positive attitude
23577836.pdf,"associate, cash, cash register, credit, credit card, database, greetings, its, new sales, sales, sales associate, sales associates, telephone, administrative tasks, operations, ordering, wpm, archiving, billing, correspondence, data archiving, filing, microsoft office, ms office"
23804341.pdf,scheduling
24124250.pdf,"epic certifications in resolute hospital billing, home health and sbo"
24410405.pdf,focused on customer satisfaction
24588864.pdf,conflict resolution skills
24695561.pdf,"balance, benchmarking, bts, budget, contracts, council, counseling, customer satisfaction, databases, database, delivery, facilities"
24754689.pdf,"basic, benefits, cash receipts, counseling, credit, client, customer service, staff training, financial, firing, hiring, inventory, leadership, materials"
24763208.pdf,"training, recruiting, sales, sales goals, cpr, therapeutic, teaching, and sell, assistant director, basis, writing skills, audits, budgets, financial"
24946537.pdf,persuasive negotiator
25873425.pdf,public safety
26071861.pdf,"academic, active directory, antivirus, audio, cables, cabling, hardware upgrades, computer hardware, client, clients, database, documentation"
26456474.pdf,skills used
27182111.pdf,"allergies, blood draws, budget, charts, coaching, cpr, decision making, ekgs, equipment maintenance, filling, financial, first aid, health education"
28111403.pdf,project management employee relations
28206098.pdf,seasoned in conflict resolution
28635795.pdf,"administrative, administrative duties, agency, case management, client, clients, customer satisfaction, database, fluent in english, english, farsi"
28871170.pdf,"agency, attorney, business plans, consultant, client, clients, detail oriented, grant proposals, legal, materials, organizing, policies, press releases"
28974459.pdf,energetic work attitude
29173771.pdf,have directors credential
29177904.pdf,decision making
29415426.pdf,strong problem solver microsoft office proficiency
29926588.pdf,strong
30741799.pdf,compassionate
31040875.pdf,"child care, council, government, meetings, money, progress, sales, social services, staffing"
31242382.pdf,customer service expert invoice processing
32965335.pdf,with understanding of network wireless technical concepts eager in learning new concepts quickly friendly demeanor that is easy to work with
34327438.pdf,"business operations, c, contracts, credit, clients, documentation, drafting, finance, financing, financial, funds, insurance, law, legal, legal"
34970271.pdf,"accounts payables, accounts receivables, administrative, benefits, billing, oral, customer service, customer support, database, documentation"
35344611.pdf,talent assessments
35474904.pdf,skills
36392131.pdf,excel spreadsheets
36694627.pdf,"key, adding machine, approach, agency, banking, basic, bonds, case management, cash handling, clerical, conflict resolution, copying"
37333719.pdf,education
37348041.pdf,experience
37560528.pdf,"such as, cooking, household chores, laundry, personal hygiene, interpersonal communication, and the effects of domestic violence as well as"
37640804.pdf,fluent in conversational spanish
38059130.pdf,"human resources, training, employee relations, recruitment, organizational development, payroll, purchasing, equal employment opportunity"
38291889.pdf,"acquisitions, agency, billing, billings, clerical, coach, coaching, clients, email, senior management, filing, financial, hiring, human resources, hr"
38698573.pdf,networking and partnership development
38860712.pdf,"goaldriven leader who maintains a productive climate and confidently motivates, mobilizes, and coaches employees to meet high"
40088790.pdf,leadership
42164460.pdf,resultsoriented filerecords maintenance
44115326.pdf,"aix, security, linux, hacmp, veritas, websphere, maintenance, network file system, nfs, oracle, unix, systems administration, dns, veritas"
46772262.pdf,"i am confident in my ability to navigate computers, communicate effectively, value teamwork, respect all members of the healthcare team, value all"
47133747.pdf,"accounting, approach, agency, backup, business management, call center, coaching, competitive, contracts, cost control, clientele"
49475708.pdf,"calculators, cash registers, closing, cooking, credit, funds, inventory, issue receipts, mark, money, windows, nice, paint, policies, quality, maintain"
49486820.pdf,strong organizational skills seasoned in conflict resolution
53169257.pdf,"administrative, c, community health, clients, direction, logistics, meetings, mentor, works, needs assessment, processes, public relations, quantitative analysis, simulation, treatment plans"
54067174.pdf,customer service expert customerfocused
72652441.pdf,creative problem solver ms windows proficient
73448369.pdf,fast data entry
74191424.pdf,strong work ethnic
75057933.pdf,selfmotivated
75435017.pdf,process evaluation
75950464.pdf,motivating students microsoft word expertise
77439230.pdf,personal and professional integrity
78538268.pdf,"marketing, clients, product positioning, public relations, interviewing, recruiting, community relations, operations, case management"
80503242.pdf,"more than  years experience in healthcare, business development, marketing and planning analysis"
89508407.pdf,detailoriented goaloriented
90468982.pdf,"atm, auditing, call center, cash handling, cash register, credit, client, customer satisfaction, excellent customer service, customer service, debit"
91051945.pdf,"account management, business development, business operations, cisco, international business, logistics, oracle, purchasing, sales"
93512385.pdf,"insurance, managing, office"
95714702.pdf,patient and diligent
95970987.pdf,"psychology human behavior and personality disorder academic, various agencies worked and volunteered and interned fr mayor bill di blasio"
97405769.pdf,superb sales professional store planning and design strong communication skills detailoriented personnel training and development time
10953078.pdf,"balance, banking, basic, charts, oral, basic computer skills, conferences, direction, instructor, meetings, office, organizational skills, progress"
11197262.pdf,accomplishments
11676151.pdf,"system software adobe dreamweaver, skills monitoring daily production runs, for technical support, ie, disc backups, database verifications, statistics reports performed complexity installation and maintenance of software skills in electronic medical records, adobe flash, help desk"
11813872.pdf,"deep expertise in designing, developing"
12341902.pdf,exceptional communication skills and outstanding outstanding interpersonal and rapport building skills
12674256.pdf,"team mediation, budget management, delegation expert with a focus on results and team growth"
14140903.pdf,great organizational skills
15053703.pdf,"public speaking, student involvement, and organizational"
15546686.pdf,"banking, chemistry, customer support, dna, gc, government, marketing, materials, network, reporting, research, sales, teaching, trainer"
15603319.pdf,"data collection, maintain inventory, statistical analysis, prepare sample and microsoft office"
16172429.pdf,"accounting, basic, bloomberg, c, charts, credit, credit risk, documentation, senior management, financial, analyze financial statements, financial"
16507693.pdf,microsoft office wordoutlook excelpower point
16653657.pdf,"hplc, gc, physical chemistry, uvvis"
16661264.pdf,"taams, arcgis, trimble unit, garmin, atv, personal computer  microsoft excel, powerpoint, microsoft word, write and read"
16849128.pdf,production and processing  basic computer skills
17312146.pdf,"microsoft word documents, excel spreadsheets and power point presentations experienced in arc geographic information systems"
17499196.pdf,physical planning and land management
17640785.pdf,"microsoft word, excel, powerpoint, office, outlook, rstudio"
18242317.pdf,"data collection, maintain inventory, statistical analysis, prepare samples"
18264694.pdf,skilled
19532392.pdf,"accounting, business intelligence, business law, hardware, customer satisfaction, customer services, data entry, databases, database"
19851252.pdf,"cashiering, closing, directing, direction, excel, power point, microsoft word, quality, safety"
20006992.pdf,"data entry, printers, clients, loans, tax returns, clerk, multiline, maintenance, recruiting, recruitment, testing, games, instructor, teaching"
20969119.pdf,"administrative, budget, business process improvement, change management, coach, contracts, customer service, delivery, direction, finance"
21134923.pdf,"dream weaver, adobe illustrator, agency, budgeting, budget, business development, business plans, c, delivery, english, estimating, finance"
21868149.pdf,"administrative, approach, business development, coaching, communication skills, computer literate, concept, council, client, data collection, data"
23631188.pdf,resolve outstanding issues timely
24068423.pdf,"automation, consultant, dec, fertilizer, grant proposals, irrigation, managing, meetings, modeling, oct, phd, processes, research, scheduling"
24397882.pdf,"accounting, accounts payable, accounts receivable, adp, agency, billing, brio, budgeting, budgets, budget, bi, controller, conversion, certified"
24416961.pdf,collaborative leadership style and winwin process redesign and work flow planning capabilities
26070334.pdf,regulatory compliance
26835781.pdf,"sasspss statistical applications, windows xp, ms office, adobe indesign, banner web  baseline curriculum advising and program"
26921245.pdf,"analytical skills, quality control, research, safety, statistics, surveys, teaching, water quality, soil fertility"
27888251.pdf,"a tenacious, courteous, diplomatic, and professional self motivated individual who requires minimal supervision"
28165687.pdf,dependable and engaging
28247753.pdf,report writing
28733974.pdf,effective leader constant contact
29142288.pdf,customer relations
29510501.pdf,"publisher, access time management skills"
29746235.pdf,strong verbal communication
29897742.pdf,data management
29968330.pdf,"well acquainted with microsoft word, excel and powerpoint required in conducting researches this includes skills in designing data"
30437583.pdf,"adobe photoshop, anatomy, agency, biology, chemistry, conferences, database, direct marketing, drupal, edit, environmental health, gis"
34141299.pdf,"accounts payable, administrative, agency, billing, clerical, content management, credit, client, clients, customer satisfaction, customer service"
36102323.pdf,cash handling
37201447.pdf,excellent classroom management
38216888.pdf,strong interpersonal skills
40882926.pdf,"agency, book, consultant, event planning, fund raising, funds, innovation, leadership, managing people, media plans, mentoring, newspapers"
54246169.pdf,"competitive, english, government, irrigation, managerial, materials, meetings, excel, office, power point, word, police, presentations, research"
55500538.pdf,proposal development microsoft office  gis
55712978.pdf,"spectroscopic methods uvvis, ir, atomic absorption, fluorescence, etc"
62994611.pdf,image processing
69336473.pdf,professional experience
69360287.pdf,"acrobat, adobe, contract auditing, backup, case management, citrix, set up conferences, contract mgmt, contract management, contract"
69859102.pdf,operations management top sales performer
79536879.pdf,seasoned in conflict resolution typing skills  words
81042872.pdf,"c, c, communication skills, designing, elisa, glp, gmp, mac os, excel, msoffice suite, powerpoint, windows, word, os, presenting"
84512719.pdf,"attention to detail, continuous improvement, logistics, excel, power point, word, network, internet research, organizational skills, safety, teamwork"
89740812.pdf,"adobe creative suite, acrobat, after effects, dreamweaver, photoshop, premiere, autocad, business operations, business strategies"
10182582.pdf,"cash register, closing, strong interpersonal skills, customer service, debit, fashion, inventory, excel, ms office, microsoft outlook, word"
10562768.pdf,"accounts payable, accounts receivable, analyst, banking, basic, bloomberg, cisco, citrix, coach, cpr, customer service skills, databases"
10738095.pdf,courteous demeanor adaptive team player
11232471.pdf,master at executing and enhancing gameplans
11409460.pdf,"solid works, cad, matlab and ms office"
11677077.pdf,flexible schedule
12059610.pdf,"art, blueprints, budgets, cash registers, charts, com, communication skills, cooking, credit, customer service, employee training, employee"
12122372.pdf,detailed  organized
12668625.pdf,"cash handling, cashier, cash registers, communication skills, customer service, speak english and learning asl, inventory, listening, ms"
12669075.pdf,proofreading
12860543.pdf,"product designer, marketing, prototype, prototypes, clients, new products, business development, cases, interior design, collections, credit"
13386301.pdf,"microsoft excel, word, power point"
13418452.pdf,"adobe acrobat, aix, arcserve, as, as, business process, business process improvement, change management, compaq, ca"
13764840.pdf,selfmotivated
13807808.pdf,computeraided design cad
13858219.pdf,"banking, closing, customer satisfaction, customer service, direction, fashion, leadership, loss prevention, merchandising, quality, retail"
14304010.pdf,"film and photography camera operating, film directing, art directing, creative planning, production management, budgeting skills, nonlinear"
14413257.pdf,excellent communication skills
14698557.pdf,store opening and closing procedures exceptional leader
14937492.pdf,team building  leadership
15154822.pdf,photoshop  corel draw  illustraitor  microsoft office
15479281.pdf,"adobe, advertising, benchmarking, competitive research, forecasting, google analytics, marketing research, marketing communications"
15535408.pdf,flexible schedule
15746146.pdf,extensive fabric knowledge vendor relations
16391949.pdf,receive return merchandise active listening skills
16500168.pdf,key words
16605640.pdf,"academic, accounting, administrative support, streamline, balance, basic, benchmarking, billing, book, budget, call center, competitive, customer"
16723524.pdf,"ms excel pivot table, hlook up, vlookup, moderate macros, advanced functions"
16985289.pdf,"branding, catalog, communication, competitive, content, excel, ecommerce, financial, google analytics, graphs, inventory levels, leadership"
17659053.pdf,professional and mature cash handling
17714174.pdf,"administrative, as set, balance, business plan, business planning, business processes, cold calling, competitive, conferences, contracts, client"
18509268.pdf,"customer satisfaction, customer service, documentation, driving, electronic mail, fax, graphics, hiring, inventory, letters, loss prevention, managing"
19070271.pdf,"electrical maintenance skills including ac motors, sensors, and controls"
19402977.pdf,"closing, competitive, client, customer service, delivery, direct sales, english, expense reports, inventory control, market trends, market, meetings"
19714635.pdf,"advertising, branding  marketing, budgeting, budgets, business solutions, competitive, consultant, creativity, creative director, communications"
20504094.pdf,"accounting, accounts payables, accounts payable, schedule appointments, bookkeeping, maintain calendar, cash receipts, charts, clerical"
20905088.pdf,core accomplishments
21007083.pdf,"desktop publishing software photoshop, capture one, lightroom"
21570485.pdf,"ms windows, word, excel, powerpoint, outlook and mac, lexis nexis, soarian and medinotes emr"
21807211.pdf,excellent planner and coordinator microsoft excel certified works well under pressure conference planning pleasant demeanor multiline phone
22249155.pdf,customer service embroidery machine operator
22852364.pdf,"accounts payable, accounts receivable, acquisitions, agile, approach, business owner, business process, business processes, cisa, closing"
23190306.pdf,"cashier, corporate training, customer service, delivery, inventory, leadership, managing, materials, merchandising, excel, office, page, payroll, personnel, policies, presentations, profit, profit and loss, promotion, purchasing, recording, reporting, sales, shipping, team management"
23719943.pdf,"adobe creative suitesillustrator, photoshop, indesigncc, microsoft office excel, word, power point, lotus notes, outlook cad ned"
24516163.pdf,"adobe photoshop, basic, cad, coaching, color, conversion, client, direction, fashion, focus, gps, illustration, image, inventory, market"
24533931.pdf,adaptability
24989856.pdf,"clerical, clientele, data entry, data base, fashion, interior design, inventory, marketing, office"
25142074.pdf,"graphic design, composition  illustration"
25543217.pdf,valued team player
26046878.pdf,"sales, award, clients, marketing, market share, modelviewpresenter, mvp, new sales, sales consultant, sales for, solutions, retail, retail"
26098594.pdf,"administrative, assistant manager, clarify, drafting legal documents, english, forms, grant proposals, human resources, inventory, law, research"
26586477.pdf,contract negotiation selfdirected
26691587.pdf,service prioritization communication
26829561.pdf,skills experience total years last used
27091280.pdf,"accounts payable, adp, balance sheets, cash handling, cash management, closing, resolve customer complaints, database, direction, drivers"
27099856.pdf,"business strategies, budget maintenance, costing and vendor negotiations"
27176039.pdf,"budget, business intelligence, coach, cost control, customer satisfaction, customer service, firing, hiring, inventory, inventory management and"
27549075.pdf,"accounts receivable, administrative, billing, budgeting, contracts, client databases, documentation, grant writing, invoicing, payroll, personnel, public"
27694040.pdf,"adobe photoshop, budget, client, clients, design software, facility maintenance, inventory, multitasking, product design, quality, quality assurance"
28998957.pdf,"plm ptc and enovia, sql, crystal reports, google analytics, jira, hpqc, qlikview, cognos, advanced microsoft access, advanced"
29028935.pdf,"amp, strengths"
29521434.pdf,problem solving
29640922.pdf,"adobe illustrator, photoshop, basic, calibration, color, consulting, data entry, direction, fashion, gis, graphic, inventory, leadership, logos"
29764492.pdf,apparel design ability to effectively plan
30344127.pdf,"aia, alpha, analyst, billing, brio, charts, continuous improvement, contracts, council, direction, experiments, focus, drawing, hyperion, internal"
30430249.pdf,retail inventory
31362807.pdf,"assistant manager, cpr, credit, editing skus financial, pl first aid, inforem, inventory control, lotus notes, mainframe, managerial"
31761591.pdf,experience
33665485.pdf,team leadership
35121930.pdf,"approach, agency, child care, client, clients, fashion, futures, mechanical, meetings, money, works, quality, safety"
35571205.pdf,"approach, backhoe, bobcat, budgets, budget, building codes, carpentry, cash register, closing, basic computer skills, content, credit, delivery"
35603950.pdf,ability to handle multiple task and lead to completion
35985133.pdf,proficient in quickbooks
36094883.pdf,"academic adviser and analyst consultant with strong client focus, grant writing leadership skills in several venues, marketing strategies, office"
36136569.pdf,"advertising, agile, ap, budgets, budget, concept, costing, credit, clientele, client, excellent customer service, databases, database, drivers, e"
37750854.pdf,"years in retail management, buying, marketing, and merchandising"
41586420.pdf,"coaching, customer service, train employees, internet applications excel, msoffice, word, mis inventory, logistics, merchandising"
43852883.pdf,"computerized accounting, accounts receivables, administrative functions, administrative support, adobe acrobat, adobe illustrator"
46514339.pdf,"assistant manager, benefits, budgets, cash receipts, coaching, interpersonal, competitive analysis, customer satisfaction, customer service, forms"
50324968.pdf,"enthusiastic, friendly, and personable"
52252936.pdf,professional and friendly
54308684.pdf,"attention to detail, scheduling and coordinating, handson, bookkeeping, customer service, data entry, database, documentation, email, fashion"
56025640.pdf,"assembly, cold calling, community relations, corel software, customer service, delivery, edge, forklift, frame, framing, information technology"
56151548.pdf,"administrative support, benefits, budget and planning, budgets, budget, clerical, coaching, client, clients, database, direction, special events, fsa"
58208591.pdf,microsoft office proficiency selfstarter
70750649.pdf,"mac os, microsoft office, word, excel, powerpoint, outlook, photoshop, cision, fashion gps, social annex"
71499299.pdf,calyx point los
71767359.pdf,organized
72807293.pdf,exceptional time management skills business and requirements analysis
78273826.pdf,"adobe illustrator, photoshop, excel, power point, word"
83566455.pdf,"ms office, mrperp systems, po systems, data warehouses"
91026230.pdf,"ads, apple, budgeting, budgets, business development, cash flow, contracts, cpr, customer service, special events, financial, first aid"
91533580.pdf,highlights
99806115.pdf,credit and cash transactions
10830646.pdf,enthusiastic people person
11187796.pdf,customer service
11360471.pdf,work experience
11995013.pdf,cash handling accuracy
12334650.pdf,microsoft office excel
12386670.pdf,art education curriculum design and development
12413512.pdf,"serve as a resource person, a leader to all the members of the student council"
12777487.pdf,"learning mangement system, learning technologies, technology integration, online programs"
13272204.pdf,"compensation, healthcare, hr, benefits, cobra, reconciliation, adp, accounts for, ada, annuities, dental, fmla, healthcare accounts"
14879257.pdf,"arts, english, instruction, latin, letters, logic, materials, math, presentations, progress, promotion, read, research, spanish, spanish language"
15306049.pdf,outstanding sight reader
16244633.pdf,"databases, hr, compensation, appraisal, automated payroll, benefits, benefits administration, correspondence, employee benefits, hr"
16887936.pdf,accomplishments
16962067.pdf,relationship building and networking
17033567.pdf,cpt certified with nasm
